Customer No.,Deposited,Interest,Actual Interest
Customer1,24485,1754,8.15%
Customer2,20931,1996,9.54%
Customer3,23127,1030,4.45%
Customer4,22962,1434,6.25%
Customer5,18138,1646,9.07%
Customer6,15145,1121,7.40%
Customer7,24812,1284,5.17%
Customer8,20525,1450,7.06%
Customer9,23130,1069,4.62%
Customer10,24273,1861,7.67%
Customer11,15237,1673,10.98%
Customer12,17722,1754,9.90%
Customer13,21108,1411,6.68%
Customer14,16731,1962,11.73%
Customer15,15269,1217,7.97%
Customer16,20979,1393,6.64%
Customer17,23996,1967,8.20%
Customer18,15789,1522,9.64%
Customer19,16158,1642,10.16%
Customer20,18049,1592,8.82%
Customer21,24832,1378,5.55%
Customer22,18215,1780,9.77%
Customer23,16930,1454,8.59%
Customer24,21248,1392,6.55%
Customer25,16251,1990,12.25%
Customer26,17532,1795,10.24%
Customer27,24188,1212,5.01%
Customer28,17058,1592,9.33%
Customer29,20952,1901,9.07%
Customer30,24804,1137,4.58%
Customer31,15077,1413,9.37%
Customer32,15565,1149,7.38%
Customer33,23470,1997,7.47%
